Line	Task	Event	EventID	EventTrigger	TriggerArg1	TriggerArg2	EventServer	EventAccessPath	EventItem	ReactOnStartup	Step	Action	Kind	ActionServer	ActionAccessPath	ActionItem	ScriptID	Active
5A2 Line 2 - Cam Holder Assembly	Cam Holder Assembly	200 - Data Ready	9	EQ	1		TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady	0	1020	Set Alarm Type	WRITE	TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	MESAlarmType	NULL	1
5A2 Line 2 - Cam Holder Assembly	Cam Holder Assembly	200 - Data Ready	9	EQ	1		TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady	0	1030	Set Alarm Message	WRITE	TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	MESAlarmText	NULL	1
5A2 Line 2 - Cam Holder Assembly	Cam Holder Assembly	200 - Data Ready	9	EQ	1		TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady	0	1050	Write Part Type	WRITE	TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	PartType	NULL	1
5A2 Line 2 - Cam Holder Assembly	Cam Holder Assembly	200 - Data Ready	9	EQ	1		TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady	0	1100	Reset Transaction In Process	WRITE	TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	TransInProc	NULL	1
5A2 Line 2 - Cam Holder Assembly	Cam Holder Assembly	200 - Data Ready	9	EQ	1		TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady	0	2000	Reset Data Ready	WRITE	TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady	NULL	1
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	20	Set Transaction In Process	WRITE	TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	TransInProc	NULL	1
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	200	Process Part	SCRIPT	NULL	NULL	NULL	17	1
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	1000	Set Part Valid	WRITE	TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	PartValid	NULL	1
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	1010	Skip To Write Part Type	SCRIPT	NULL	NULL	NULL	18	1
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	1020	Set Alarm Type	WRITE	TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	MESAlarmType	NULL	1
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	1030	Set Alarm Message	WRITE	TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	MESAlarmText	NULL	1
